name,slottime_GMT,slottype,slotavg,pointTitle
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-15 00:00:00,D,111.683333333,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-15 00:00:00,D,36451.667291666,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-15 00:00:00,D,3580.039270833,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-15 00:00:00,D,2479.110104166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-16 00:00:00,D,31.748394895,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-16 00:00:00,D,47.721875000,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-16 00:00:00,D,92.632291666,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-16 00:00:00,D,19472.483822916,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-16 00:00:00,D,4261.519375000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-16 00:00:00,D,3463.178229166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-17 00:00:00,D,4.776404583,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-17 00:00:00,D,48.253684210,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-17 00:00:00,D,85.323157894,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-17 00:00:00,D,15328.966770833,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-17 00:00:00,D,4128.414687500,Domestic Hot Water for Alice Cook House
